Transmission_Power,Vehicle_Density,CBR
2mW,3km1,0.058719124272
2mW,3km11,0.187586025559
2mW,3km13,0.275166881095
2mW,3km17,0.305364291556
2mW,3km19,0.340289365205
2mW,3km21,0.38247687276
2mW,3km27,0.437145397867
2mW,3km29,0.499819895766
2mW,3km3,0.095505284623
2mW,3km37,0.573124872048
2mW,3km45,0.622180064255
2mW,3km5,0.141008521179
2mW,3km51,0.672005323449
4mW,3km1,0.072131953704
4mW,3km11,0.236011268629
4mW,3km13,0.342961319645
4mW,3km17,0.378486322236
4mW,3km19,0.423671274031
4mW,3km21,0.470255515413
4mW,3km27,0.525525192299
4mW,3km29,0.602892335722
4mW,3km3,0.120797952911
4mW,3km37,0.681914611921
4mW,3km45,0.725317158704
4mW,3km5,0.175114695364
4mW,3km51,0.758648879827
6mW,3km1,0.078947100641
6mW,3km11,0.258208551535
6mW,3km13,0.381093100196
6mW,3km17,0.41259355284
6mW,3km19,0.461200707598
6mW,3km21,0.51871962856
6mW,3km27,0.577725817235
6mW,3km29,0.654984434019
6mW,3km3,0.132210758886
6mW,3km37,0.734494061636
6mW,3km45,0.770035017429
6mW,3km5,0.192707108397
6mW,3km51,0.795658681965
8mW,3km1,0.080012267433
8mW,3km11,0.263049573029
8mW,3km13,0.389590211352
8mW,3km17,0.424300614195
8mW,3km19,0.473153639452
8mW,3km21,0.527132526034
8mW,3km27,0.590055412596
8mW,3km29,0.665279780042
8mW,3km3,0.134085058386
8mW,3km37,0.74146287004
8mW,3km45,0.779099440042
8mW,3km5,0.195942325139
8mW,3km51,0.802999665237
10mW,3km1,0.080012267433
10mW,3km11,0.261973771598
10mW,3km13,0.387378664365
10mW,3km17,0.423302575943
10mW,3km19,0.473658012296
10mW,3km21,0.526865617111
10mW,3km27,0.589149683636
10mW,3km29,0.663755513755
10mW,3km3,0.134085058386
10mW,3km37,0.744441578143
10mW,3km45,0.781941641976
10mW,3km5,0.196256580322
10mW,3km51,0.801319324513
12mW,3km1,0.080012267433
12mW,3km11,0.262642846785
12mW,3km13,0.387992678386
12mW,3km17,0.426363117041
12mW,3km19,0.469407251692
12mW,3km21,0.526447907132
12mW,3km27,0.59071016923
12mW,3km29,0.662538336235
12mW,3km3,0.134085058386
12mW,3km37,0.74384775421
12mW,3km45,0.780444563125
12mW,3km5,0.196130347472
12mW,3km51,0.803296775789
14mW,3km1,0.080012267433
14mW,3km11,0.262436932466
14mW,3km13,0.388082057199
14mW,3km17,0.424443643707
14mW,3km19,0.471949988879
14mW,3km21,0.52676915906
14mW,3km27,0.590579997637
14mW,3km29,0.665794404604
14mW,3km3,0.134085058386
14mW,3km37,0.743858844636
14mW,3km45,0.77955931641
14mW,3km5,0.196496278655
14mW,3km51,0.802401594885
16mW,3km1,0.080012267433
16mW,3km11,0.262518243295
16mW,3km13,0.386200831557
16mW,3km17,0.425706268142
16mW,3km19,0.470416312026
16mW,3km21,0.523854542073
16mW,3km27,0.590555276454
16mW,3km29,0.664166059116
16mW,3km3,0.134085058386
16mW,3km37,0.747410552565
16mW,3km45,0.778156978367
16mW,3km5,0.195772456739
16mW,3km51,0.80415390713
18mW,3km1,0.080012267433
18mW,3km11,0.262778675052
18mW,3km13,0.389245671067
18mW,3km17,0.423940486583
18mW,3km19,0.471426855033
18mW,3km21,0.526824302653
18mW,3km27,0.590555276454
18mW,3km29,0.663035895634
18mW,3km3,0.134085058386
18mW,3km37,0.744397126142
18mW,3km45,0.779682701178
18mW,3km5,0.196058196989
18mW,3km51,0.80137395693
20mW,3km1,0.080012267433
20mW,3km11,0.263015098046
20mW,3km13,0.388314927305
20mW,3km17,0.423818616751
20mW,3km19,0.472558187953
20mW,3km21,0.524855786239
20mW,3km27,0.59133041924
20mW,3km29,0.664637688508
20mW,3km3,0.134085058386
20mW,3km37,0.743048938515
20mW,3km45,0.777835523317
20mW,3km5,0.196875467572
20mW,3km51,0.802813871248
